Date,Close
1/4/2010,56.18
1/5/2010,58.02
1/6/2010,59.78
1/7/2010,62.2
1/8/2010,61.6
1/11/2010,60.87
1/12/2010,60.43
1/13/2010,61.16
1/14/2010,61.56
1/15/2010,60.82
1/19/2010,60.65
1/20/2010,60.2
1/21/2010,59.2
1/22/2010,57.77
1/25/2010,57.78
1/26/2010,57.71
1/27/2010,61.93
1/28/2010,62.56
1/29/2010,60.6
2/1/2010,61.7
2/2/2010,61.94
2/3/2010,61.46
2/4/2010,59.32
2/5/2010,58.4
2/8/2010,57.89
2/9/2010,59.74
2/10/2010,59.54
2/11/2010,60.59
2/12/2010,59.65
2/16/2010,61.26
2/17/2010,61.82
2/18/2010,62.89
2/19/2010,63.59
2/22/2010,63.97
2/23/2010,62.77
2/24/2010,63.48
2/25/2010,62.87
2/26/2010,63.16
3/1/2010,64
3/2/2010,64.44
3/3/2010,64.45
3/4/2010,65.55
3/5/2010,67.93
3/8/2010,67.24
3/9/2010,67.79
3/10/2010,70.01
3/11/2010,70.07
3/12/2010,69.83
3/15/2010,69.4
3/16/2010,68.72
3/17/2010,69.38
3/18/2010,70.87
3/19/2010,70.72
3/22/2010,71.91
3/23/2010,72.18
3/24/2010,72.32
3/25/2010,72.49
3/26/2010,72.59
3/29/2010,74.11
3/30/2010,73.53
3/31/2010,72.61
4/1/2010,72.99
4/5/2010,72.04
4/6/2010,72.36
4/7/2010,72.1
4/8/2010,72.28
4/9/2010,72.42
4/12/2010,71.92
4/13/2010,71.19
4/14/2010,71.7
4/15/2010,72.09
4/16/2010,70.79
4/19/2010,70.96
4/20/2010,71.41
4/21/2010,74.16
4/22/2010,75.59
4/23/2010,75.13
4/26/2010,74.34
4/27/2010,72.48
4/28/2010,72.37
4/29/2010,73.79
4/30/2010,72.43
5/3/2010,74.39
5/4/2010,72.79
5/5/2010,71
5/6/2010,67.97
5/7/2010,66.72
5/10/2010,71
5/11/2010,71.42
5/12/2010,72.87
5/13/2010,71.76
5/14/2010,69.82
5/17/2010,69.68
5/18/2010,67.72
5/19/2010,66.21
5/20/2010,63
5/21/2010,64.56
5/24/2010,63.15
5/25/2010,62.78
5/26/2010,63.26
5/27/2010,65.13
5/28/2010,64.18
6/1/2010,62.95
6/2/2010,64.34
6/3/2010,64.31
6/4/2010,61.15
6/7/2010,60.11
6/8/2010,61.02
6/9/2010,61.71
6/10/2010,63.89
6/11/2010,65.38
6/14/2010,64.82
6/15/2010,67.48
6/16/2010,67.03
6/17/2010,67.26
6/18/2010,67.96
6/21/2010,67.97
6/22/2010,66.28
6/23/2010,67.45
6/24/2010,67.43
6/25/2010,68.77
6/28/2010,67.3
6/29/2010,63.04
6/30/2010,62.75
7/1/2010,62.26
7/2/2010,61.94
7/6/2010,61.36
7/7/2010,63.3
7/8/2010,64.73
7/9/2010,64.66
7/12/2010,64.34
7/13/2010,64.43
7/14/2010,64.75
7/15/2010,64.37
7/16/2010,61.9
7/19/2010,63.18
7/20/2010,63.88
7/21/2010,63.18
7/22/2010,66.6
7/23/2010,67.93
7/26/2010,68.85
7/27/2010,68.62
7/28/2010,67.32
7/29/2010,67.22
7/30/2010,68.14
8/2/2010,69.69
8/3/2010,69.54
8/4/2010,69.25
8/5/2010,68.71
8/6/2010,68.7
8/9/2010,68.99
8/10/2010,68.62
8/11/2010,65.6
8/12/2010,64.7
8/13/2010,64.84
8/16/2010,64.4
8/17/2010,65.99
8/18/2010,66
8/19/2010,64.62
8/20/2010,64.6
8/23/2010,63.3
8/24/2010,60.93
8/25/2010,60.76
8/26/2010,61.32
8/27/2010,63.16
8/30/2010,62.1
8/31/2010,61.13
9/1/2010,62.29
9/2/2010,63.39
9/3/2010,64.64
9/7/2010,63.42
9/8/2010,64.5
9/9/2010,63.44
9/10/2010,63.84
9/13/2010,64.19
9/14/2010,62.76
9/15/2010,62.73
9/16/2010,62.58
9/17/2010,62.95
9/20/2010,63.72
9/21/2010,64.23
9/22/2010,63.9
9/23/2010,62.65
9/24/2010,64.6
9/27/2010,63.89
9/28/2010,64.52
9/29/2010,65.97
9/30/2010,66.54
10/1/2010,66.83
10/4/2010,66.33
10/5/2010,68.6
10/6/2010,68.6
10/7/2010,68.46
10/8/2010,69.23
10/11/2010,69.99
10/12/2010,70.22
10/13/2010,71.47
10/14/2010,71.36
10/15/2010,70.11
10/18/2010,70.23
10/19/2010,69.05
10/20/2010,71.36
10/21/2010,71.5
10/22/2010,71.26
10/25/2010,71.66
10/26/2010,71.3
10/27/2010,70.86
10/28/2010,71.27
10/29/2010,70.64
11/1/2010,70.48
11/2/2010,69.78
11/3/2010,68.94
11/4/2010,70.85
11/5/2010,71.27
11/8/2010,70.21
11/9/2010,69.25
11/10/2010,67.07
11/11/2010,65.37
11/12/2010,63.09
11/15/2010,63.61
11/16/2010,62.78
11/17/2010,62.5
11/18/2010,64.61
11/19/2010,63.59
11/22/2010,64.03
11/23/2010,63.6
11/24/2010,65.41
11/26/2010,64.8
11/29/2010,64.36
11/30/2010,63.77
12/1/2010,65.72
12/2/2010,66.59
12/3/2010,66.54
12/6/2010,66.59
12/7/2010,66.23
12/8/2010,65.18
12/9/2010,64.61
12/10/2010,64.16
12/13/2010,63.79
12/14/2010,64.49
12/15/2010,64.24
12/16/2010,64.4
12/17/2010,65.03
12/20/2010,63.27
12/21/2010,64.19
12/22/2010,64.61
12/23/2010,65.06
12/27/2010,64.75
12/28/2010,64.86
12/29/2010,65.05
12/30/2010,65.01
12/31/2010,65.26
1/3/2011,66.4
1/4/2011,66.94
1/5/2011,67.48
1/6/2011,68.8
1/7/2011,69.38
1/10/2011,69.09
1/11/2011,68.96
1/12/2011,70.15
1/13/2011,69.83
1/14/2011,70.07
1/18/2011,72.47
1/19/2011,71.73
1/20/2011,71.12
1/21/2011,71.68
1/24/2011,72.73
1/25/2011,72.24
1/26/2011,70.02
1/27/2011,70.56
1/28/2011,69.23
1/31/2011,69.48
2/1/2011,70.29
2/2/2011,71
2/3/2011,70.98
2/4/2011,71.38
2/7/2011,71.93
2/8/2011,72.71
2/9/2011,72.63
2/10/2011,72.66
2/11/2011,72.14
2/14/2011,72.26
2/15/2011,71.4
2/16/2011,72.48
2/17/2011,72.24
2/18/2011,73.04
2/22/2011,70.93
2/23/2011,70.23
2/24/2011,70.76
2/25/2011,72.3
2/28/2011,72.01
3/1/2011,70.12
3/2/2011,69.57
3/3/2011,71.71
3/4/2011,71.8
3/7/2011,70.88
3/8/2011,72.04
3/9/2011,72.09
3/10/2011,71.29
3/11/2011,71.64
3/14/2011,70.74
3/15/2011,69.69
3/16/2011,67.69
3/17/2011,68.3
3/18/2011,69.1
3/21/2011,71.2
3/22/2011,71.85
3/23/2011,72.72
3/24/2011,72.76
3/25/2011,73.34
3/28/2011,73.3
3/29/2011,73.62
3/30/2011,73.8
3/31/2011,73.93
4/1/2011,74.01
4/4/2011,73.95
4/5/2011,73.23
4/6/2011,73.72
4/7/2011,74.29
4/8/2011,73.47
4/11/2011,73.76
4/12/2011,73.08
4/13/2011,72.13
4/14/2011,72.3
4/15/2011,72.6
4/18/2011,72.79
4/19/2011,73.15
4/20/2011,75.07
4/21/2011,75.44
4/25/2011,74.9
4/26/2011,75.55
4/27/2011,76.12
4/28/2011,78.55
4/29/2011,79.78
5/2/2011,79.53
5/3/2011,79.51
5/4/2011,78.84
5/5/2011,78.45
5/6/2011,79.31
5/9/2011,79.64
5/10/2011,79.95
5/11/2011,79.08
5/12/2011,79.41
5/13/2011,79.03
5/16/2011,77.77
5/17/2011,76.68
5/18/2011,77.14
5/19/2011,78.02
5/20/2011,77.52
5/23/2011,76.28
5/24/2011,75.57
5/25/2011,76.32
5/26/2011,76.66
5/27/2011,76.99
5/31/2011,78.03
6/1/2011,75.35
6/2/2011,75.69
6/3/2011,74.84
6/6/2011,74.58
6/7/2011,74.18
6/8/2011,73.85
6/9/2011,74.18
6/10/2011,72.69
6/13/2011,72.94
6/14/2011,74.64
6/15/2011,73.85
6/16/2011,74.01
6/17/2011,74.16
6/20/2011,74.52
6/21/2011,73.98
6/22/2011,72.12
6/23/2011,71.25
6/24/2011,71.26
6/27/2011,71.62
6/28/2011,72.09
6/29/2011,72.72
6/30/2011,73.93
7/1/2011,74.27
7/5/2011,74.15
7/6/2011,74.74
7/7/2011,75.99
7/8/2011,75.07
7/11/2011,73.35
7/12/2011,71.93
7/13/2011,72.17
7/14/2011,71.19
7/15/2011,71.28
7/18/2011,69.55
7/19/2011,70.53
7/20/2011,72.07
7/21/2011,72.89
7/22/2011,72.67
7/25/2011,71.31
7/26/2011,70.16
7/27/2011,70.63
7/28/2011,70.66
